data_Lançamento;1. Pessoal Ativo;2. Pessoal Inativo e Pensionistas;4. Indenizações por Demissão e Incentivo à Demissão;5. Decorrentes de Decisão Judicial;6. Despesas de Exercicios Anteriores;7. Inativos e Pensionistas com Recursos Vinculados;9. Receita Corrente;10. Deduções
12-2022;1469481549,1;876632730,0;3629298,6;78339515,8;2372714,7;281662184,9;4511580017,9;1493047649,0
01-2023;872011162,6;610299027,4;4485357,9;0,0;1205638,6;217325549,3;4549643445,0;1108979532,8
02-2023;849602457,4;611785439,5;4593854,2;0,0;824935,9;222608690,0;4749219137,8;1437896479,2
03-2023;868054110,9;612318581,1;3784758,0;0,0;1021703,4;206346246,1;3962046903,2;1182206340,1
04-2023;845604395,7;616033696,5;3793761,2;0,0;1115026,4;221568209,4;4062724302,9;1130254885,0
05-2023;880475991,8;618432569,8;3487795,1;0,0;9628485,3;210140451,7;4267786903,3;1237751269,5
06-2023;868478230,3;619497243,2;4748260,9;0,0;6086305,6;203595430,6;5229186620,8;1034023070,2
07-2023;925689312,3;622479418,8;3498558,0;0,0;1311200,7;214750753,9;3818369372,8;1030600585,4
08-2023;882425620,1;624514419,8;5653909,7;0,0;1762127,1;211026493,9;3976257717,2;1062149884,8
09-2023;944836893,8;619896255,4;17009204,6;0,0;1462256,5;213120458,4;3823711126,3;1050727392,5
10-2023;1077272197,6;622230057,0;22969126,0;0,0;861856,7;214383247,7;3846746226,6;1058556265,1
11-2023;1449569642,6;1120215078,2;7797215,8;124324535,2;1436896,3;359934803,1;4621243370,9;1225059753,8
12-2023;1338137849,1;739310287,8;15431399,5;2537235,4;744009,1;264348525,7;4902324450,5;1420922133,5
01-2024;900928347,3;646810084,8;4724838,4;0,0;3259144,2;199509314,0;4894802118,6;1059811684,2
02-2024;897936724,8;633146396,3;3008164,9;0,0;1476202,5;123080132,5;5483898901,3;1480473546,1
03-2024;886483661,9;631734734,3;1243500,4;0,0;572723,2;222810253,1;6099471539,8;1196316971,1
04-2024;890269950,2;634956888,6;1242660,8;0,0;1010944,2;358675093,9;4786481211,6;1334681269,1
05-2024;926602607,6;638936263,4;2057739,4;0,0;674655,9;132780453,8;4761194480,3;1269578781,1
06-2024;901830297,7;647509264,5;2348153,1;0,0;96763,6;166719733,3;4753390373,4;1277543560,8
07-2024;977927708,5;685314513,3;430966,9;0,0;606587,2;368886712,2;4640581954,0;1262259066,8
08-2024;915903148,6;666989991,0;997281,2;0,0;800581,2;191801953,9;4753895113,3;1239725019,7
09-2024;965440841,8;667574275,4;1184812,0;0,0;1038322,4;218223441,7;4603217107,2;1194246993,5
10-2024;1148391889,0;681546846,8;1746846,7;63971,1;2178769,0;222766918,6;4623710095,6;1437767988,2
11-2024;943418490,2;586847816,8;819858,6;0,0;2992505,0;223209288,1;4957852524,0;1280027555,5
12-2024;2294684319,6;1315920638,3;1166479,6;407623572,8;1215519,6;393437948,8;5373587481,9;1888397557,6
01-2025;1007701711,48;670817599,9;;;;220401591,56;5652535612,6;1155263918,14
02-2025;981616278,54;675112394,06;;;;205463541,79;5687448084,95;1634754859,81
03-2025;960969479,5;676991082,34;;;;196154137,42;4727752480,04;1293002661,09
04-2025;960298775,54;676646043,08;;;;203825739,56;4871807433,2;1375842621,51
